file,owner,license
04 All of Us.mp3,Eric Skiff,CC-BY
rock-textures-brickwork-brick-wall-13958.jpg,torange.biz,CC-BY	
stone-wall-2477715_640.jpg,terimakasih0(pixabay),CC0
163442__under7dude__man-dying.wav,Under7dude(freesound.org),CC0
tux/*,SuperTux,GPL3
heart_4.png,mart(OpenGameArt.org),CC0
387133__rdaly95__collecting-health.wav,rdaly95(freesound.org),CC-BY
monster/MonsterPack_008/*,Kjell_Granlund(OpenGameArt.org),CC-BY
00.png,Alekei(OpenGameArt.org),CC-BY
secret_key.png,Jay Mayu(OpenGameArt.org),CC0
gen_anim.png,rrcaseyr(OpenGameArt.org), CC-BY-SA
PixelWeapons/*,PixelMannen(OpenGameArt.org),CC0
BulletIcon.png,BrighamKeys(OpenGameArt.org),CC-BY-SA
hand_cursor0000.png,andreyin(OpenGameArt.org),CC0
iceblock.svg,digit1024(OpenGameArt.org),CC-BA-SA
Lava #4.png,LuminousDragonGames(OpenGameArt.org),CC0
crow-man.bmp,Spring(OpenGameArt.org),CC-BY
frame-1.bmp,bevouliin.com(OpenGameArt.org),CC0
